,Prev_Team,Prev_Season,Prev_Round,Prev_Opposition,Prev_Margin,Prev_Venue,Prev_Score,Prev_Disposals,Prev_Kicks,Prev_Marks,Prev_Handballs,Prev_Goals,Prev_Hitouts,Prev_Tackles,Prev_Rebound50s,Prev_Inside50s,Prev_Clearances,Prev_Clangers,Prev_ContendedPossessions,Prev_UncontendedPossessions,Prev_ContestedMarks,Prev_MarksInside50,Prev_GoalAssists,Prev_OnePercenters,Prev_cusum_margin,Prev_cusum_Score,Prev_WinLoss,Curr_Round,Curr_Opposition,Curr_Venue,Curr_WinLoss
848,Geelong,2013,17,Adelaide,-2,Football Park,92,14.45454545,8.772727273,3.363636364,5.681818182,0.636363636,1.727272727,2.636363636,1.863636364,2.318181818,1.681818182,2.136363636,7.045454545,7.136363636,0.772727273,0.636363636,0.409090909,1.954545455,406,1746,L,18,St Kilda,Kardinia Park,W
849,Geelong,2013,18,St Kilda,101,Kardinia Park,137,18.09090909,9.818181818,5.181818182,8.272727273,0.954545455,1.5,2.590909091,0.909090909,2.863636364,1.590909091,1.727272727,6.272727273,12,0.590909091,0.772727273,0.681818182,1.772727273,507,1883,W,19,North Melbourne,Docklands,L
850,Geelong,2013,19,North Melbourne,-10,Docklands,86,15.09090909,8.545454545,3.272727273,6.545454545,0.590909091,1.227272727,3.090909091,1.409090909,2.681818182,1.5,1.636363636,5.954545455,8.772727273,0.227272727,0.363636364,0.272727273,2.090909091,497,1969,L,20,Port Adelaide,Kardinia Park,W
851,Geelong,2013,20,Port Adelaide,25,Kardinia Park,129,16.54545455,9.590909091,5.318181818,6.954545455,0.909090909,1.272727273,3.272727273,1.409090909,2.227272727,1.363636364,1.909090909,5.681818182,10.95454545,0.5,0.5,0.772727273,1.318181818,522,2098,W,21,West Coast,Subiaco,W
852,Geelong,2013,21,West Coast,66,Subiaco,107,19.72727273,10.54545455,4.090909091,9.181818182,0.727272727,1.454545455,3.318181818,1.363636364,2.636363636,1.863636364,1.863636364,7.136363636,12.40909091,0.318181818,0.227272727,0.545454545,2.136363636,588,2205,W,22,Sydney,Kardinia Park,W
853,Geelong,2013,22,Sydney,44,Kardinia Park,92,19.68181818,10.27272727,4.909090909,9.409090909,0.590909091,1.090909091,4.318181818,1.318181818,2.818181818,1.363636364,2,6.863636364,12.86363636,0.545454545,0.5,0.318181818,2,632,2297,W,23,Brisbane Lions,Kardinia Park,W
854,Geelong,2013,23,Brisbane Lions,1,Kardinia Park,112,17.18181818,8.954545455,3.454545455,8.227272727,0.681818182,2.090909091,2.409090909,1.045454545,2.772727273,2.090909091,2.409090909,7.045454545,10.13636364,0.454545455,0.454545455,0.409090909,1.409090909,633,2409,W,23,Fremantle,Kardinia Park,L
855,Geelong,2013,23,Fremantle,-15,Kardinia Park,72,16.45454545,8.818181818,3.727272727,7.636363636,0.409090909,0.727272727,3,1.454545455,2.5,1,2.181818182,6.318181818,9.727272727,0.681818182,0.363636364,0.181818182,2.772727273,618,2481,L,23,Port Adelaide,M.C.G.,W
856,Geelong,2013,23,Port Adelaide,16,M.C.G.,96,16.72727273,8.954545455,3.954545455,7.772727273,0.590909091,1.454545455,3.090909091,1.045454545,2.954545455,1.409090909,1.863636364,6.454545455,10.68181818,0.454545455,0.590909091,0.454545455,2.363636364,634,2577,W,24,Hawthorn,M.C.G.,L
857,Geelong,2013,24,Hawthorn,-5,M.C.G.,97,13.27272727,7.863636364,3.227272727,5.409090909,0.681818182,1.136363636,2.5,1.727272727,1.909090909,1.454545455,2.636363636,5.863636364,7.181818182,0.454545455,0.272727273,0.454545455,2.227272727,629,2674,L,1,Adelaide,Kardinia Park,W
