Season,Team A,Team B,Location,Game A,Game B,Home A,Home B,RatingA,RatingA,Curr_WinLoss
2012,Collingwood,Essendon,MCG,5,5,0,0,1498.177964,1599.971237,W
2012,Essendon,Collingwood,MCG,5,5,0,0,1599.971237,1498.177964,L
2012,Carlton,Fremantle,Patersons Stadium,5,5,0,1,1554.65078,1554.076123,W
2012,Fremantle,Carlton,Patersons Stadium,5,5,1,0,1554.076123,1554.65078,L
2012,Greater Western Sydney,Western Bulldogs,Manuka Oval,5,5,0,0,1407.451587,1454.315089,L
2012,Western Bulldogs,Greater Western Sydney,Manuka Oval,5,5,0,0,1454.315089,1407.451587,W
2012,Gold Coast,North Melbourne,Etihad Stadium,5,5,0,1,1405.196449,1510.129598,L
2012,North Melbourne,Gold Coast,Etihad Stadium,5,5,1,0,1510.129598,1405.196449,W
2012,Melbourne,St Kilda,MCG,5,5,0,0,1397.257818,1489.438436,L
2012,St Kilda,Melbourne,MCG,5,5,0,0,1489.438436,1397.257818,W
2012,Brisbane Lions,Geelong,The Gabba,5,5,1,0,1495.650919,1502.299185,L
2012,Geelong,Brisbane Lions,The Gabba,5,5,0,1,1502.299185,1495.650919,W
2012,Hawthorn,Sydney,Aurora Stadium,5,5,1,0,1504.03626,1593.920626,L
2012,Sydney,Hawthorn,Aurora Stadium,5,5,0,1,1593.920626,1504.03626,W
2012,Richmond,West Coast,Etihad Stadium,5,5,1,0,1453.267163,1591.156549,L
2012,West Coast,Richmond,Etihad Stadium,5,5,0,1,1591.156549,1453.267163,W
2012,Adelaide,Port Adelaide,AAMI Stadium,5,5,0,0,1538.202277,1450.801942,W
2012,Port Adelaide,Adelaide,AAMI Stadium,5,5,0,0,1450.801942,1538.202277,L
2012,Collingwood,Western Bulldogs,Etihad Stadium,6,6,0,0,1532.633973,1477.536276,W
2012,Western Bulldogs,Collingwood,Etihad Stadium,6,6,0,0,1477.536276,1532.633973,L
2012,Brisbane Lions,Essendon,Etihad Stadium,6,6,0,1,1463.396629,1565.515227,L
2012,Essendon,Brisbane Lions,Etihad Stadium,6,6,1,0,1565.515227,1463.396629,W
2012,Geelong,Melbourne,Simonds Stadium,6,6,1,0,1534.553475,1377.393797,W
2012,Melbourne,Geelong,Simonds Stadium,6,6,0,1,1377.393797,1534.553475,L
2012,Fremantle,Gold Coast,Metricon Stadium,6,6,0,1,1521.373955,1391.330118,W
